name,version,license,scope,resolved
events,3.3.0,MIT,transitive:runtime,https://registry.npmjs.org/events/-/events-3.3.0.tgz
events-universal,1.0.1,Apache-2.0,transitive:runtime,https://registry.npmjs.org/events-universal/-/events-universal-1.0.1.tgz
express,5.2.1,MIT,direct:runtime,https://registry.npmjs.org/express/-/express-5.2.1.tgz
fast-fifo,1.3.2,MIT,transitive:runtime,https://registry.npmjs.org/fast-fifo/-/fast-fifo-1.3.2.tgz
fill-range,7.1.1,MIT,transitive:dev,https://registry.npmjs.org/fill-range/-/fill-range-7.1.1.tgz
finalhandler,2.1.1,MIT,transitive:runtime,https://registry.npmjs.org/finalhandler/-/finalhandler-2.1.1.tgz
follow-redirects,1.15.11,MIT,transitive:runtime,https://registry.npmjs.org/follow-redirects/-/follow-redirects-1.15.11.tgz
foreground-child,3.3.1,ISC,transitive:runtime,https://registry.npmjs.org/foreground-child/-/foreground-child-3.3.1.tgz
form-data,4.0.5,MIT,transitive:runtime,https://registry.npmjs.org/form-data/-/form-data-4.0.5.tgz
forwarded,0.2.0,MIT,transitive:runtime,https://registry.npmjs.org/forwarded/-/forwarded-0.2.0.tgz
fresh,2.0.0,MIT,transitive:runtime,https://registry.npmjs.org/fresh/-/fresh-2.0.0.tgz
fsevents,2.3.3,MIT,transitive:dev,https://registry.npmjs.org/fsevents/-/fsevents-2.3.3.tgz
function-bind,1.1.2,MIT,transitive:runtime,https://registry.npmjs.org/function-bind/-/function-bind-1.1.2.tgz
get-intrinsic,1.3.0,MIT,transitive:runtime,https://registry.npmjs.org/get-intrinsic/-/get-intrinsic-1.3.0.tgz
get-proto,1.0.1,MIT,transitive:runtime,https://registry.npmjs.org/get-proto/-/get-proto-1.0.1.tgz
glob,10.5.0,ISC,transitive:runtime,https://registry.npmjs.org/glob/-/glob-10.5.0.tgz
glob-parent,5.1.2,ISC,transitive:dev,https://registry.npmjs.org/glob-parent/-/glob-parent-5.1.2.tgz
gopd,1.2.0,MIT,transitive:runtime,https://registry.npmjs.org/gopd/-/gopd-1.2.0.tgz
graceful-fs,4.2.11,ISC,transitive:runtime,https://registry.npmjs.org/graceful-fs/-/graceful-fs-4.2.11.tgz
has-flag,3.0.0,MIT,transitive:dev,https://registry.npmjs.org/has-flag/-/has-flag-3.0.0.tgz
has-symbols,1.1.0,MIT,transitive:runtime,https://registry.npmjs.org/has-symbols/-/has-symbols-1.1.0.tgz
has-tostringtag,1.0.2,MIT,transitive:runtime,https://registry.npmjs.org/has-tostringtag/-/has-tostringtag-1.0.2.tgz
hasown,2.0.2,MIT,transitive:runtime,https://registry.npmjs.org/hasown/-/hasown-2.0.2.tgz
http-errors,2.0.1,MIT,transitive:runtime,https://registry.npmjs.org/http-errors/-/http-errors-2.0.1.tgz
iceberg-js,0.8.1,MIT,transitive:runtime,https://registry.npmjs.org/iceberg-js/-/iceberg-js-0.8.1.tgz
iconv-lite,0.7.2,MIT,transitive:runtime,https://registry.npmjs.org/iconv-lite/-/iconv-lite-0.7.2.tgz
ieee754,1.2.1,BSD-3-Clause,transitive:runtime,https://registry.npmjs.org/ieee754/-/ieee754-1.2.1.tgz
ignore-by-default,1.0.1,ISC,transitive:dev,https://registry.npmjs.org/ignore-by-default/-/ignore-by-default-1.0.1.tgz
inherits,2.0.4,ISC,transitive:runtime,https://registry.npmjs.org/inherits/-/inherits-2.0.4.tgz
ipaddr.js,1.9.1,MIT,transitive:runtime,https://registry.npmjs.org/ipaddr.js/-/ipaddr.js-1.9.1.tgz
is-binary-path,2.1.0,MIT,transitive:dev,https://registry.npmjs.org/is-binary-path/-/is-binary-path-2.1.0.tgz
is-extglob,2.1.1,MIT,transitive:dev,https://registry.npmjs.org/is-extglob/-/is-extglob-2.1.1.tgz
is-fullwidth-code-point,3.0.0,MIT,transitive:runtime,https://registry.npmjs.org/is-fullwidth-code-point/-/is-fullwidth-code-point-3.0.0.tgz
is-glob,4.0.3,MIT,transitive:dev,https://registry.npmjs.org/is-glob/-/is-glob-4.0.3.tgz
is-number,7.0.0,MIT,transitive:dev,https://registry.npmjs.org/is-number/-/is-number-7.0.0.tgz
is-promise,4.0.0,MIT,transitive:runtime,https://registry.npmjs.org/is-promise/-/is-promise-4.0.0.tgz
is-stream,2.0.1,MIT,transitive:runtime,https://registry.npmjs.org/is-stream/-/is-stream-2.0.1.tgz
isarray,1.0.0,MIT,transitive:runtime,https://registry.npmjs.org/isarray/-/isarray-1.0.0.tgz
isexe,2.0.0,ISC,transitive:runtime,https://registry.npmjs.org/isexe/-/isexe-2.0.0.tgz
jackspeak,3.4.3,BlueOak-1.0.0,transitive:runtime,https://registry.npmjs.org/jackspeak/-/jackspeak-3.4.3.tgz
json-schema-to-ts,3.1.1,MIT,transitive:runtime,https://registry.npmjs.org/json-schema-to-ts/-/json-schema-to-ts-3.1.1.tgz
lazystream,1.0.1,MIT,transitive:runtime,https://registry.npmjs.org/lazystream/-/lazystream-1.0.1.tgz
lodash,4.17.23,MIT,transitive:runtime,https://registry.npmjs.org/lodash/-/lodash-4.17.23.tgz
lru-cache,10.4.3,ISC,transitive:runtime,https://registry.npmjs.org/lru-cache/-/lru-cache-10.4.3.tgz
math-intrinsics,1.1.0,MIT,transitive:runtime,https://registry.npmjs.org/math-intrinsics/-/math-intrinsics-1.1.0.tgz
media-typer,1.1.0,MIT,transitive:runtime,https://registry.npmjs.org/media-typer/-/media-typer-1.1.0.tgz
merge-descriptors,2.0.0,MIT,transitive:runtime,https://registry.npmjs.org/merge-descriptors/-/merge-descriptors-2.0.0.tgz
mime-db,1.52.0,MIT,transitive:runtime,https://registry.npmjs.org/mime-db/-/mime-db-1.52.0.tgz
mime-db,1.54.0,MIT,transitive:runtime,https://registry.npmjs.org/mime-db/-/mime-db-1.54.0.tgz
mime-types,2.1.35,MIT,transitive:runtime,https://registry.npmjs.org/mime-types/-/mime-types-2.1.35.tgz
mime-types,3.0.2,MIT,transitive:runtime,https://registry.npmjs.org/mime-types/-/mime-types-3.0.2.tgz
minimatch,3.1.2,ISC,transitive:dev,https://registry.npmjs.org/minimatch/-/minimatch-3.1.2.tgz
minimatch,5.1.9,ISC,transitive:runtime,https://registry.npmjs.org/minimatch/-/minimatch-5.1.9.tgz
minimatch,9.0.9,ISC,transitive:runtime,https://registry.npmjs.org/minimatch/-/minimatch-9.0.9.tgz
minipass,7.1.3,BlueOak-1.0.0,transitive:runtime,https://registry.npmjs.org/minipass/-/minipass-7.1.3.tgz
ms,2.1.3,MIT,transitive:runtime,https://registry.npmjs.org/ms/-/ms-2.1.3.tgz
negotiator,1.0.0,MIT,transitive:runtime,https://registry.npmjs.org/negotiator/-/negotiator-1.0.0.tgz
node-cron,4.2.1,ISC,direct:runtime,https://registry.npmjs.org/node-cron/-/node-cron-4.2.1.tgz
node-ensure,0.0.0,MIT,transitive:runtime,https://registry.npmjs.org/node-ensure/-/node-ensure-0.0.0.tgz
nodemon,3.1.11,MIT,direct:dev,https://registry.npmjs.org/nodemon/-/nodemon-3.1.11.tgz
normalize-path,3.0.0,MIT,transitive:runtime,https://registry.npmjs.org/normalize-path/-/normalize-path-3.0.0.tgz
object-inspect,1.13.4,MIT,transitive:runtime,https://registry.npmjs.org/object-inspect/-/object-inspect-1.13.4.tgz
on-finished,2.4.1,MIT,transitive:runtime,https://registry.npmjs.org/on-finished/-/on-finished-2.4.1.tgz
once,1.4.0,ISC,transitive:runtime,https://registry.npmjs.org/once/-/once-1.4.0.tgz
package-json-from-dist,1.0.1,BlueOak-1.0.0,transitive:runtime,https://registry.npmjs.org/package-json-from-dist/-/package-json-from-dist-1.0.1.tgz
pako,1.0.11,(MIT AND Zlib),transitive:runtime,https://registry.npmjs.org/pako/-/pako-1.0.11.tgz
parseurl,1.3.3,MIT,transitive:runtime,https://registry.npmjs.org/parseurl/-/parseurl-1.3.3.tgz
path-key,3.1.1,MIT,transitive:runtime,https://registry.npmjs.org/path-key/-/path-key-3.1.1.tgz
path-scurry,1.11.1,BlueOak-1.0.0,transitive:runtime,https://registry.npmjs.org/path-scurry/-/path-scurry-1.11.1.tgz
path-to-regexp,8.3.0,MIT,transitive:runtime,https://registry.npmjs.org/path-to-regexp/-/path-to-regexp-8.3.0.tgz
pdf-lib,1.17.1,MIT,direct:runtime,https://registry.npmjs.org/pdf-lib/-/pdf-lib-1.17.1.tgz
